,id,name,artists,duration_s,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,Year_dt
0,4BhwlQ9mTwhFGXpQvP9JTV,Lil Jimmy Skit,Kanye West,53.64,2/10/04,2004,0.803,0.64,0.279,0.0,0.375,-12.396,0.484,82.475,0.741,1,10,46,1,2004-01-01
2,7r6PigmGzlB3YPB7wvBBbi,No Church In The Wild,Kanye West,272.507,8/8/11,2011,0.244,0.654,0.75,0.0178,0.167,-7.509,0.105,92.773,0.557,0,8,55,1,2011-01-01
3,5zes2uxTNuqNlO6toDTZN5,Primetime,Kanye West,199.24,8/8/11,2011,0.166,0.662,0.923,9.64e-06,0.31,-4.085,0.21,84.99,0.469,0,11,51,1,2011-01-01
4,7eW9cHOAHmYqphs5tWXETw,Clique,Kanye West,293.613,1/1/12,2012,0.0601,0.71,0.555,0.0,0.227,-5.942,0.295,109.204,0.303,0,9,49,1,2012-01-01
5,0FZmAvivvifvtN3pZScbw1,Drunk in Love Remix (feat. Jay-Z & Kanye West),Kanye West,395.987,11/24/14,2014,0.161,0.514,0.763,0.0,0.118,-3.58,0.052,139.748,0.474,0,10,57,1,2014-01-01
6,3MnbXlC1N7GdS9M8HzA6no,Facts (Charlie Heat Version),Kanye West,200.733,6/10/16,2016,0.0518,0.777,0.662,0.0,0.168,-3.761,0.143,142.059,0.4,0,1,60,1,2016-01-01
7,5FlmoOiXokZHJvESrFbsyg,MAMA,Kanye West,192.405,11/27/18,2018,0.0893,0.761,0.672,9.77e-06,0.14,-5.887,0.212,160.077,0.437,1,1,68,1,2018-01-01
8,6xcz5MXwY36hItZg5PZj78,"Confessions Part II Remix (feat. Shyne, Twista & Kanye West)",Kanye West,268.933,3/23/04,2004,0.213,0.834,0.485,0.0,0.137,-10.29,0.369,138.078,0.635,1,1,45,0,2004-01-01
9,2QK4nswjBvmwBXTOLFodDA,Flashing Lights,Kanye West,237.44,9/11/07,2007,0.0316,0.643,0.623,0.0,0.405,-7.605,0.0391,90.486,0.436,0,6,45,0,2007-01-01
10,0fjUmA3EdEZBBVyKNhsct0,The Joy,Kanye West,317.92,8/8/11,2011,0.146,0.584,0.516,3.07e-05,0.139,-6.256,0.325,79.743,0.326,1,7,51,1,2011-01-01
11,0n0HybfiBU3YDQNVtWugtm,I Wish You Would,Kanye West,237.347,1/1/12,2012,0.0497,0.705,0.873,0.0,0.342,-1.311,0.0504,141.973,0.619,1,5,49,1,2012-01-01
12,4UaWrzY75h1tAvlxa4NKP9,Blessings - Extended Version,Kanye West,301.96,2/3/15,2015,0.292,0.645,0.606,0.0,0.129,-8.074,0.512,118.8,0.121,0,10,56,1,2015-01-01
13,5H25xsIuRWUI8GwcoAoeSG,Piss On Your Grave (feat. Kanye West),Kanye West,166.32,9/4/15,2015,0.00793,0.554,0.54,1.05e-06,0.158,-5.687,0.0905,116.877,0.162,1,1,57,1,2015-01-01
15,6wfzokDylbrJzrJcpnBkcy,Freestyle 4,Kanye West,123.387,6/10/16,2016,0.0449,0.564,0.537,0.0,0.0907,-8.381,0.095,126.036,0.459,0,9,59,1,2016-01-01
16,0oPOuDmmkVp3h6puekhs6P,Use This Gospel,Kanye West,213.878,10/25/19,2019,0.614,0.611,0.459,0.0,0.126,-3.926,0.0422,148.28,0.177,0,0,66,0,2019-01-01
17,7Ct3wqpGLbNrrG617S00B3,No Church In The Wild,Kanye West,272.507,8/8/11,2011,0.244,0.654,0.751,0.0179,0.167,-7.508,0.105,92.774,0.568,0,8,46,1,2011-01-01
18,14I61w6cyYUHiV2n28IYdP,Otis,Kanye West,178.213,8/8/11,2011,0.552,0.754,0.631,0.0,0.5,-4.751,0.307,94.577,0.432,0,7,53,1,2011-01-01
19,4HWQexsnWXsAKBJp52hU4G,Illest Motherf**ker Alive,Kanye West,503.32,8/8/11,2011,0.171,0.553,0.663,1.64e-06,0.595,-6.412,0.0837,139.979,0.299,1,11,51,1,2011-01-01
20,0j35X8cTq543QDYLOyqB8W,Only One,Kanye West,280.227,1/8/15,2015,0.939,0.732,0.243,0.0,0.111,-6.023,0.0435,102.087,0.106,1,0,58,0,2015-01-01
21,39JRmdKFka1Oe09FoOCPI4,Selah,Kanye West,164.62,10/25/19,2019,0.647,0.482,0.618,0.000859,0.32,-5.673,0.197,90.076,0.146,0,9,66,0,2019-01-01
22,2SasoXZyv82yYgHiVOvxQn,On God,Kanye West,136.351,10/25/19,2019,0.0671,0.41,0.886,0.0,0.461,-4.413,0.155,72.577,0.393,0,9,66,0,2019-01-01
23,24bnCCysWnbNRNUT4LpHcP,Everything We Need,Kanye West,116.56,10/25/19,2019,0.312,0.894,0.416,0.0,0.146,-6.823,0.0538,116.96,0.463,0,9,66,0,2019-01-01
25,3r4U9UpHaFurMtq1oCZoAp,Number One,Kanye West,236.573,1/1/06,2006,0.251,0.845,0.801,0.0,0.0951,-5.619,0.129,107.012,0.666,0,10,48,1,2006-01-01
